Time,Bacteroides theta,Bacteroides fragilis,Bifido longum,Bifido breve,Bifido adolescentis,Eubacterium hallii,Faecalibacterium prausnitzii,Roseburia intestinalis
3.72,0.01341924,0.018705216,0.033800419,1.450938208,0.074217799,0.084780419,0.015857656,0.015438738
3.74,0.013456892,0.018787519,0.034059331,1.484419623,0.075117273,0.085833678,0.015916535,0.015490626
3.76,0.013494887,0.018870471,0.034320609,1.51836481,0.076027956,0.086895984,0.015975885,0.015542892
3.78,0.013533229,0.018954078,0.034584277,1.552760621,0.076949982,0.087967275,0.016035711,0.015595538
3.8,0.013571922,0.019038348,0.034850356,1.58759244,0.07788349,0.089047482,0.016096016,0.015648567
3.82,0.013610969,0.019123287,0.03511887,1.622844124,0.078828615,0.090136533,0.016156805,0.015701984
3.84,0.013650374,0.019208905,0.035389842,1.65849796,0.079785498,0.09123435,0.016218083,0.01575579
3.86,0.013690141,0.019295207,0.035663295,1.694534613,0.08075428,0.092340851,0.016279855,0.015809991
3.88,0.013730274,0.019382202,0.035939252,1.730933091,0.081735103,0.093455948,0.016342125,0.015864589
3.9,0.013770775,0.019469896,0.036217738,1.767670706,0.082728111,0.094579546,0.016404897,0.015919587
3.92,0.01381165,0.019558299,0.036498776,1.804723043,0.083733451,0.09571155,0.016468178,0.01597499
3.94,0.013852901,0.019647418,0.03678239,1.842063947,0.084751269,0.096851853,0.016531971,0.016030801
3.96,0.013894533,0.01973726,0.037068605,1.879665499,0.085781716,0.098000348,0.016596281,0.016087023
3.98,0.01393655,0.019827835,0.037357446,1.917498024,0.08682494,0.099156919,0.016661114,0.01614366
4,0.013978956,0.01991915,0.037648936,1.955530091,0.087881095,0.100321448,0.016726474,0.016200716
4.02,0.014021755,0.020011213,0.037943102,1.993728537,0.088950336,0.101493807,0.016792367,0.016258194
4.04,0.01406495,0.020104034,0.038239969,2.032058502,0.090032817,0.102673867,0.016858798,0.016316099
4.06,0.014108547,0.02019762,0.038539561,2.07048347,0.091128696,0.10386149,0.016925772,0.016374433
4.08,0.014152549,0.020291981,0.038841905,2.10896534,0.092238132,0.105056535,0.016993294,0.016433202
4.1,0.014196961,0.020387124,0.039147026,2.1474645,0.093361286,0.106258853,0.01706137,0.016492408
4.12,0.014241787,0.02048306,0.039454952,2.18593993,0.094498322,0.107468291,0.017130005,0.016552056
4.14,0.014287031,0.020579797,0.039765708,2.224349308,0.095649403,0.10868469,0.017199205,0.01661215
4.16,0.014332698,0.020677345,0.040079321,2.262649156,0.096814696,0.109907884,0.017268975,0.016672694
4.18,0.014378793,0.020775712,0.040395818,2.300794981,0.097994368,0.111137704,0.01733932,0.016733691
4.2,0.014425319,0.020874909,0.040715225,2.338741456,0.09918859,0.112373973,0.017410247,0.016795147
4.22,0.014472282,0.020974944,0.041037572,2.376442609,0.100397534,0.11361651,0.017481761,0.016857064
4.24,0.014519687,0.021075829,0.041362885,2.41385203,0.101621372,0.114865128,0.017553869,0.016919448
4.26,0.014567538,0.021177571,0.041691192,2.450923101,0.102860282,0.116119633,0.017626575,0.016982303
4.28,0.01461584,0.021280182,0.042022521,2.487609239,0.104114438,0.117379827,0.017699886,0.017045632
4.3,0.014664597,0.021383672,0.042356901,2.523864149,0.105384023,0.118645507,0.017773808,0.017109441
4.32,0.014713816,0.021488051,0.04269436,2.559642099,0.106669215,0.119916463,0.017848347,0.017173733
4.34,0.0147635,0.02159333,0.043034928,2.594898194,0.107970198,0.121192482,0.01792351,0.017238514
4.36,0.014813656,0.021699519,0.043378633,2.629588663,0.109287158,0.122473342,0.017999302,0.017303787
4.38,0.014864287,0.021806628,0.043725506,2.663671143,0.110620282,0.12375882,0.01807573,0.017369558
4.4,0.0149154,0.02191467,0.044075575,2.697104967,0.111969757,0.125048685,0.018152801,0.01743583
4.42,0.014967,0.022023654,0.044428871,2.729851439,0.113335776,0.126342703,0.01823052,0.017502609
4.44,0.015019091,0.022133593,0.044785425,2.76187411,0.114718532,0.127640634,0.018308895,0.017569899
4.46,0.015071681,0.022244497,0.045145266,2.793139026,0.116118218,0.128942233,0.018387932,0.017637705
4.48,0.015124773,0.022356379,0.045508426,2.823614969,0.117535033,0.130247251,0.018467638,0.017706032
4.5,0.015178374,0.02246925,0.045874936,2.853273669,0.118969176,0.131555434,0.01854802,0.017774885
4.52,0.01523249,0.022583121,0.046244827,2.882089988,0.120420846,0.132866525,0.018629085,0.017844269
4.54,0.015287126,0.022698006,0.046618131,2.910042077,0.121890249,0.13418026,0.018710839,0.017914188
4.56,0.015342288,0.022813917,0.046994879,2.937111496,0.123377589,0.135496375,0.018793291,0.017984648
4.58,0.015397982,0.022930865,0.047375105,2.963283305,0.124883074,0.136814599,0.018876446,0.018055654
4.6,0.015454214,0.023048864,0.047758841,2.988546104,0.126406913,0.138134658,0.018960313,0.018127212
4.62,0.01551099,0.023167926,0.048146119,3.012892054,0.127949318,0.139456276,0.019044899,0.018199325
4.64,0.015568316,0.023288065,0.048536973,3.036316841,0.129510502,0.14077917,0.019130212,0.018272
4.66,0.015626199,0.023409294,0.048931437,3.058819616,0.131090683,0.142103059,0.019216258,0.018345243
4.68,0.015684645,0.023531626,0.049329544,3.080402893,0.132690078,0.143427655,0.019303046,0.018419058
4.7,0.015743661,0.023655074,0.049731327,3.101072419,0.134308908,0.144752669,0.019390583,0.01849345
4.72,0.015803252,0.023779654,0.050136823,3.120837007,0.135947395,0.146077809,0.019478878,0.018568427
4.74,0.015863427,0.023905379,0.050546064,3.139708354,0.137605764,0.147402783,0.019567938,0.018643993
4.76,0.01592419,0.024032263,0.050959087,3.157700825,0.139284243,0.148727294,0.019657771,0.018720153
4.78,0.01598555,0.024160321,0.051375927,3.174831228,0.14098306,0.150051044,0.019748386,0.018796915
4.8,0.016047513,0.024289567,0.051796619,3.191118571,0.142702449,0.151373735,0.019839791,0.018874282
4.82,0.016110087,0.024420017,0.0522212,3.206583814,0.144442641,0.152695067,0.019931994,0.018952263
4.84,0.016173278,0.024551686,0.052649705,3.221249615,0.146203875,0.154014738,0.020025004,0.019030862
4.86,0.016237094,0.024684589,0.053082171,3.235140076,0.147986388,0.155332447,0.02011883,0.019110085
4.88,0.016301542,0.024818741,0.053518636,3.248280491,0.149790421,0.156647891,0.02021348,0.019189939
4.9,0.016366629,0.02495416,0.053959137,3.260697107,0.151616218,0.15796077,0.020308963,0.01927043
4.92,0.016432364,0.025090861,0.054403711,3.272416885,0.153464024,0.159270779,0.020405288,0.019351564
4.94,0.016498753,0.02522886,0.054852396,3.283467285,0.155334088,0.160577619,0.020502465,0.019433348
4.96,0.016565805,0.025368175,0.055305231,3.293876057,0.157226659,0.161880988,0.020600503,0.019515788
4.98,0.016633528,0.025508822,0.055762254,3.303671052,0.15914199,0.163180586,0.02069941,0.01959889
5,0.016701929,0.025650818,0.056223505,3.312880047,0.161080336,0.164476115,0.020799196,0.019682661
5.02,0.016771018,0.025794181,0.056689022,3.32153059,0.163041956,0.165767278,0.020899872,0.019767108
5.04,0.016840801,0.025938929,0.057158846,3.329649862,0.165027108,0.167053781,0.021001446,0.019852238
5.06,0.016911288,0.02608508,0.057633017,3.337264553,0.167036056,0.168335329,0.02110393,0.019938057
5.08,0.016982487,0.026232653,0.058111575,3.344400763,0.169069063,0.169611634,0.021207331,0.020024572
5.1,0.017054407,0.026381665,0.058594562,3.351083909,0.171126398,0.170882408,0.021311662,0.020111791
5.12,0.017127057,0.026532136,0.059082017,3.357338654,0.17320833,0.172147366,0.021416932,0.02019972
5.14,0.017200446,0.026684086,0.059573984,3.363188853,0.175315132,0.173406228,0.021523151,0.020288367
5.16,0.017274582,0.026837533,0.060070503,3.368657499,0.177447077,0.174658716,0.021630331,0.020377739
5.18,0.017349475,0.026992499,0.060571618,3.373766699,0.179604443,0.175904557,0.021738481,0.020467844
5.2,0.017425134,0.027149002,0.06107737,3.378537646,0.18178751,0.177143481,0.021847613,0.020558688
5.22,0.017501569,0.027307064,0.061587804,3.382990608,0.18399656,0.178375224,0.021957738,0.020650279
5.24,0.01757879,0.027466706,0.062102962,3.387144927,0.186231878,0.179599526,0.022068867,0.020742626
