MetaOTU	Species	Type	Sample	RelativeAbundance
MS00061	Bifidobacterium adolescentis	12 Months	X565	0.00104218673129177
MS00061	Bifidobacterium adolescentis	12 Months	X567	0
MS00061	Bifidobacterium adolescentis	12 Months	X572	0
MS00061	Bifidobacterium adolescentis	12 Months	X582	3.84509745702422e-05
MS00061	Bifidobacterium adolescentis	12 Months	X585	0.00153069663119452
MS00061	Bifidobacterium adolescentis	12 Months	X587	0
MS00061	Bifidobacterium adolescentis	12 Months	X589	0
MS00061	Bifidobacterium adolescentis	12 Months	X590	0
MS00061	Bifidobacterium adolescentis	12 Months	X591	0
MS00061	Bifidobacterium adolescentis	12 Months	X599	5.11818948089737e-05
MS00061	Bifidobacterium adolescentis	12 Months	X608	0.0163552374538887
MS00061	Bifidobacterium adolescentis	12 Months	X615	0
MS00061	Bifidobacterium adolescentis	12 Months	X624	0
MS00061	Bifidobacterium adolescentis	12 Months	X633	0.00265031127367955
MS00061	Bifidobacterium adolescentis	12 Months	X637	0.000586073272422375
MS00061	Bifidobacterium adolescentis	12 Months	X78	0.00871466876051506
MS00061	Bifidobacterium adolescentis	12 Months	X87	0
MS00159	Eubacterium hallii	12 Months	X105	0
MS00159	Eubacterium hallii	12 Months	X10	0.0031268582084011
MS00159	Eubacterium hallii	12 Months	X128	0.000374092810301835
MS00159	Eubacterium hallii	12 Months	X12	0
MS00159	Eubacterium hallii	12 Months	X130	0.0403665821686911
MS00159	Eubacterium hallii	12 Months	X133	0.00353445297940284
MS00159	Eubacterium hallii	12 Months	X137	0.00135383119450093
MS00159	Eubacterium hallii	12 Months	X150	0.0065824720001432
MS00159	Eubacterium hallii	12 Months	X157	0
MS00159	Eubacterium hallii	12 Months	X172	0.00646611388005717
MS00159	Eubacterium hallii	12 Months	X180	0
MS00159	Eubacterium hallii	12 Months	X181	0
MS00159	Eubacterium hallii	12 Months	X184	7.96304032683546e-05
MS00159	Eubacterium hallii	12 Months	X201	7.88833010218912e-05
MS00159	Eubacterium hallii	12 Months	X229	0
MS00159	Eubacterium hallii	12 Months	X238	0
MS00159	Eubacterium hallii	12 Months	X240	0
MS00159	Eubacterium hallii	12 Months	X256	0
MS00159	Eubacterium hallii	12 Months	X258	0
MS00159	Eubacterium hallii	12 Months	X263	0.0243012478811105
MS00159	Eubacterium hallii	12 Months	X265	0
MS00159	Eubacterium hallii	12 Months	X268	0.00311308071291829
MS00159	Eubacterium hallii	12 Months	X26	0
MS00159	Eubacterium hallii	12 Months	X272	0
MS00159	Eubacterium hallii	12 Months	X274	0
MS00159	Eubacterium hallii	12 Months	X275	0.00241089866324585
MS00159	Eubacterium hallii	12 Months	X276	0.0197204263624997
MS00159	Eubacterium hallii	12 Months	X281	0
MS00159	Eubacterium hallii	12 Months	X282	0
MS00159	Eubacterium hallii	12 Months	X332	0
MS00159	Eubacterium hallii	12 Months	X335	0
MS00159	Eubacterium hallii	12 Months	X338	0.000474855905836012
MS00159	Eubacterium hallii	12 Months	X341	0.000783435623166419
MS00159	Eubacterium hallii	12 Months	X343	0
MS00159	Eubacterium hallii	12 Months	X350	3.81039356044717e-05
MS00159	Eubacterium hallii	12 Months	X367	0.0187794648068834
MS00159	Eubacterium hallii	12 Months	X377	2.86701243887116e-05
MS00159	Eubacterium hallii	12 Months	X383	0.000144738865820215
MS00159	Eubacterium hallii	12 Months	X385	0
MS00159	Eubacterium hallii	12 Months	X397	0.0031601952959636
MS00159	Eubacterium hallii	12 Months	X39	0.016747469627404
MS00159	Eubacterium hallii	12 Months	X42	0.00011883834920548
MS00159	Eubacterium hallii	12 Months	X45	0.000712464309732109
MS00159	Eubacterium hallii	12 Months	X51	0
MS00159	Eubacterium hallii	12 Months	X521	0
MS00159	Eubacterium hallii	12 Months	X526	2.69708512436451e-05
MS00159	Eubacterium hallii	12 Months	X527	0
MS00159	Eubacterium hallii	12 Months	X536	0.000138691088131831
MS00159	Eubacterium hallii	12 Months	X544	0
