X105_4M	X10_4M	X128_4M	X12_4M	X130_4M	X133_4M	X137_4M	X150_4M	X157_4M	X172_4M	X180_4M	X181_4M	X184_4M	X201_4M	X229_4M	X238_4M	X240_4M	X256_4M	X258_4M	X263_4M	X265_4M	X268_4M	X26_4M	X272_4M	X274_4M	X275_4M	X276_4M	X281_4M	X282_4M	X332_4M	X335_4M	X338_4M	X341_4M	X343_4M	X350_4M	X367_4M	X377_4M	X383_4M	X385_4M	X397_4M	X39_4M	X42_4M	X45_4M	X51_4M	X521_4M	X526_4M	X527_4M	X536_4M	X544_4M	X549_4M	X560_4M	X565_4M	X567_4M	X572_4M	X582_4M	X585_4M	X587_4M	X589_4M	X590_4M	X591_4M	X599_4M	X608_4M	X615_4M	X624_4M	X633_4M	X637_4M	X78_4M	X87_4M
MN00041	0	0	0	0.000701911225883777	0	0	0	0	0	0	0	0	0.000469831012078866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MN00042	0	0	0	0	0.00019014575456762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MN00043	0	0	0	0	0	0	0	0	0	0	4.79093216302962e-05	7.99197776411052e-05	5.05318236073281e-05	0	0	0	0	0	0	0.000192496760859719	0	0	0	0	3.92465872919166e-05	0	7.44578669030204e-05	0	0	0	0	0	0	0	0	0	0	2.04050739856386e-05	0	0	3.81513787217708e-05	0.0101078070609246	0	6.42839877414274e-05	0	0	0	0.00312243044080486	0	0	0	0	0	0.000132548835187953	0	0	0	0	0	0	0	0	0.000868186334954402	0	0	0	0.000201864094630822	0.0029476719520149
MN00044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MN00045	6.17778927910811e-05	0	0	0	0	0	0.000522307079430281	0	0	0	0	0.000689592568546775	0	0	0	0	0	0	0	0	0	0	0	4.19254770553691e-05	0	0	0.000149840534866613	0	0	0	0	0	5.86779631865088e-05	0	0	0	0	0.000134400775261375	0	0	0	0.000142777445693455	0	0	0	0	0	0.000896100363614873	0.000150393097664421	6.58306784626751e-05	0	0	0	0	0	0.000276920702263171	0	0	0.000140612547265825	0	0	0	0.000462302416195169	0	0	0	0.000105202300513963	0.157693543409318
MN00046	0	0	5.95671735970426e-05	0	0	0	0.000433005872060661	0	0	0	0	0.001138353818132	0.00140601347437294	0	0	0	0	0	0	0.00148847554849798	0	0.00193838507237211	0	0	0.00365753052547876	0	0.00157663175900548	0.00154533088065267	0	0.00328177363875872	0	0	0.00257654788007291	0	0.00155208343531961	0	0	0.00248437550050416	0	0.000355808251051308	0.00106683994613033	0.000333370127903989	0	0	0.00182487070037287	0	0	0.00148670142286674	0	0.00660736359313239	0	0.000349680478367434	0.00012921957804051	0	0	0	0	0	0.00118246344967146	0.00169920169886711	0.00027842507134681	0	0.000845682929033351	0	0	0	0	0
MN00047	0	0	1.86659323758635e-05	0	0	0	0	0	0	0	0	0	0	3.18342170550027e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.87444834436557e-05	0	0	0	0	0	0	0	0	0
MN00048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.89280338705141e-05	0	0	0	0	0	0	0	0	0	0	0
MN00049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MN00050	8.07280509142013e-05	0	0.000857551366158859	0	0.000278663419788768	9.86660896660218e-05	0.000433916981380241	0	0.000611042258241675	0	7.42993701915302e-05	5.25151966076962e-05	0.000385656615313475	0.00084773902920188	0.00226912665982093	0.0326883079180562	0	4.07094989493872e-05	0	0	0.00744165701080363	0.000729237325637453	0	0	0	0.026532243121258	0	0.000214594699823105	0.0691649372475975	0	0	0.00820013364106313	3.71073544193789e-05	0.000604161000840148	0	0	0	0	0.00987309396109801	2.4942596666519e-05	0	0	0	0.000790978936893268	3.86144463913233e-05	0	0	0.0032255410953938	0	0.000277650054150143	0	0	0.0227309917595708	0.000464686015972527	1.89676111403136e-05	0.000467357809396075	0.000874108763348303	0	0	0	0.000990292226527062	0	0	0	0	0	0	1.02280997992634e-05
